,Year,Avg. Pace,PLAYER,TEAM,Team Conference Rank,GP,Team GP,W,PTS,REB,AST,STL,BLK,TOV,TS%,3PM,DEFWS,USG%,PIE,Prior ASG Appearances,AS Last Year?,Play Pct.,Adjusted PTS,Adjusted REB,Adjusted AST,Adjusted STL,Adjusted BLK,Adjusted TOV,Adjusted 3PM,AS Prob.,Conf.
0,2020,99.5,Aaron Gordon,ORL,13,19,33,13,13.8,7.2,4.2,0.7,0.8,2.8,0.528,1.6,0.7,23.3,10.8,0,0,0.5757575757575758,0.13869346733668342,0.07236180904522613,0.042211055276381915,0.007035175879396984,0.008040201005025126,0.028140703517587937,0.016080402010050253,0.9671332666035828,East
1,2020,99.5,Aaron Holiday,IND,4,30,30,15,7.4,1.3,1.8,0.5,0.1,0.8,0.465,1.1,0.4,19.1,4.3,0,0,1.0,0.07437185929648242,0.01306532663316583,0.018090452261306532,0.005025125628140704,0.0010050251256281408,0.008040201005025126,0.011055276381909548,0.027911458237279654,East
2,2020,99.5,Aaron Nesmith,BOS,9,17,32,15,4.4,2.6,0.4,0.2,0.3,0.6,0.557,1.0,0.2,12.2,3.4,0,0,0.53125,0.044221105527638194,0.02613065326633166,0.004020100502512563,0.0020100502512562816,0.003015075376884422,0.006030150753768844,0.010050251256281407,0.0004726901051374989,East
3,2020,99.5,Abdel Nader,PHO,4,15,31,20,6.0,2.1,0.9,0.3,0.1,0.6,0.609,0.7,0.2,19.5,8.9,0,0,0.4838709677419355,0.06030150753768844,0.021105527638190957,0.009045226130653266,0.003015075376884422,0.0010050251256281408,0.006030150753768844,0.007035175879396984,0.006715613163772094,West
4,2020,99.5,Adam Mokoka,CHI,7,7,31,15,1.6,0.6,0.6,0.3,0.1,0.3,0.39299999999999996,0.1,0.0,16.3,4.0,0,0,0.22580645161290322,0.016080402010050253,0.006030150753768844,0.006030150753768844,0.003015075376884422,0.0010050251256281408,0.003015075376884422,0.0010050251256281408,3.1247383759410454e-05,East
5,2020,99.5,Al Horford,OKC,12,22,32,13,14.6,6.9,3.7,0.9,0.8,1.1,0.541,2.1,0.9,22.5,12.9,5,0,0.6875,0.14673366834170853,0.06934673366834171,0.03718592964824121,0.009045226130653266,0.008040201005025126,0.011055276381909548,0.021105527638190957,0.9988302179018821,West
6,2020,99.5,Al-Farouq Aminu,ORL,13,6,33,13,3.2,3.5,1.8,1.2,0.5,1.3,0.47,0.3,0.2,13.0,7.7,0,0,0.18181818181818182,0.032160804020100506,0.035175879396984924,0.018090452261306532,0.012060301507537688,0.005025125628140704,0.01306532663316583,0.003015075376884422,0.00024787049910043516,East
7,2020,99.5,Alec Burks,NYK,6,21,33,16,11.6,4.7,2.0,0.7,0.2,1.1,0.57,2.1,0.7,19.7,10.2,0,0,0.6363636363636364,0.11658291457286432,0.04723618090452261,0.020100502512562814,0.007035175879396984,0.0020100502512562816,0.011055276381909548,0.021105527638190957,0.647257866811556,East
8,2020,99.5,Aleksej Pokusevski,OKC,12,17,32,13,3.3,3.5,1.2,0.5,1.1,1.3,0.301,0.6,0.5,16.9,3.9,0,0,0.53125,0.03316582914572864,0.035175879396984924,0.012060301507537688,0.005025125628140704,0.011055276381909548,0.01306532663316583,0.006030150753768844,0.0013863545135568642,West
9,2020,99.5,Alex Caruso,LAL,3,26,33,22,5.3,2.5,2.3,1.0,0.2,1.2,0.531,0.9,0.9,13.8,8.0,0,0,0.7878787878787878,0.053266331658291456,0.02512562814070352,0.023115577889447233,0.010050251256281407,0.0020100502512562816,0.012060301507537688,0.009045226130653266,0.031849555605708506,West
